"nn_size_l1","nn_size_l2","nn_size_l3","accuraccy_test","accuracy_training","time_training","time_eval"
40,20,0,0.905416666666667,0.944074074074074,422.711279392242,0.271967172622681
40,20,0,0.894583333333333,0.939953703703704,397.194103479385,0.255850315093994
40,20,0,0.89375,0.94162037037037,402.917892694473,0.256393432617188
40,20,0,0.87375,0.927268518518519,396.019511222839,0.254469156265259
40,20,0,0.870416666666667,0.925787037037037,394.588787555695,0.253934621810913
40,20,0,0.890833333333333,0.951388888888889,398.886402845383,0.253870964050293
40,20,0,0.8825,0.924212962962963,400.397120714188,0.257935523986816
40,20,0,0.895833333333333,0.935648148148148,413.521883249283,0.25544810295105
40,20,0,0.887916666666667,0.943009259259259,404.92582821846,0.255403995513916
40,20,0,0.8825,0.944861111111111,435.111328125,0.271620273590088
30,20,0,0.857083333333333,0.887777777777778,315.664154052734,0.234838247299194
30,20,0,0.8725,0.919212962962963,299.064319372177,0.240262031555176
30,20,0,0.867916666666667,0.920833333333333,298.125324010849,0.238600492477417
30,20,0,0.872916666666667,0.929027777777778,315.806987285614,0.236153602600098
30,20,0,0.874583333333333,0.921805555555556,296.051488876343,0.231856346130371
30,20,0,0.885416666666667,0.928101851851852,299.177024841309,0.234904527664185
30,20,0,0.86375,0.907175925925926,317.364002943039,0.237369775772095
30,20,0,0.867083333333333,0.92787037037037,311.429590463638,0.236739158630371
30,20,0,0.87625,0.916990740740741,308.004050970078,0.234621286392212
30,20,0,0.883333333333333,0.927962962962963,302.160468101501,0.234789848327637
30,14,0,0.870416666666667,0.919861111111111,296.706776857376,0.256563901901245
30,14,0,0.87,0.92287037037037,294.968642234802,0.233106136322021
30,14,0,0.867083333333333,0.900185185185185,304.435973405838,0.23359227180481
30,14,0,0.867916666666667,0.918935185185185,293.710337638855,0.235442161560059
30,14,0,0.870416666666667,0.918657407407407,296.814432859421,0.250155687332153
30,14,0,0.850833333333333,0.91287037037037,291.037299871445,0.243805170059204
30,14,0,0.8625,0.915601851851852,299.860667228699,0.24326229095459
30,14,0,0.8625,0.90462962962963,301.507102251053,0.236007213592529
30,14,0,0.88125,0.918935185185185,294.103311300278,0.230412483215332
30,14,0,0.86,0.903472222222222,295.404228210449,0.239275693893433
