"nn_size_l1","nn_size_l2","nn_size_l3","accuraccy_test","accuracy_training","time_training","time_eval"
40,20,0,0.865416666666667,0.933055555555556,423.221204042435,0.282629013061523
40,20,0,0.8875,0.940416666666667,417.425001382828,0.269286870956421
40,20,0,0.901666666666667,0.945601851851852,421.527629375458,0.270709753036499
40,20,0,0.89625,0.942175925925926,422.895067691803,0.269287347793579
40,20,0,0.847083333333333,0.870462962962963,422.358725786209,0.267307758331299
40,20,0,0.88,0.936527777777778,432.505554676056,0.316910028457642
40,20,0,0.884583333333333,0.951111111111111,432.042358636856,0.288193464279175
40,20,0,0.899583333333333,0.950324074074074,436.161318540573,0.330374956130981
40,20,0,0.898333333333333,0.953657407407407,434.513691425323,0.289779424667358
40,20,0,0.8975,0.946435185185185,423.913136482239,0.295258760452271
30,20,0,0.84875,0.911898148148148,321.701548576355,0.267141342163086
30,20,0,0.87125,0.907361111111111,329.622134447098,0.256495475769043
30,20,0,0.860416666666667,0.901018518518519,322.381593465805,0.25816798210144
30,20,0,0.887916666666667,0.939027777777778,318.227224826813,0.256910085678101
30,20,0,0.884583333333333,0.916296296296296,346.251700162888,0.28233790397644
30,20,0,0.879583333333333,0.927361111111111,321.366662979126,0.245124816894531
30,20,0,0.8825,0.925046296296296,310.468076705933,0.249433040618896
30,20,0,0.884166666666667,0.904768518518518,314.114401340485,0.2519850730896
30,20,0,0.85875,0.916898148148148,313.819817304611,0.252385139465332
30,20,0,0.8775,0.92625,320.72588968277,0.24749755859375
30,14,0,0.87,0.913935185185185,306.058131456375,0.243062496185303
30,14,0,0.87,0.928194444444444,309.668758630753,0.243239879608154
30,14,0,0.874166666666667,0.914305555555556,322.417889356613,0.241894721984863
30,14,0,0.87875,0.921064814814815,383.661600589752,0.368852138519287
30,14,0,0.859583333333333,0.919490740740741,410.89429807663,0.24230694770813
30,14,0,0.8725,0.916666666666667,342.782336711884,0.407811641693115
30,14,0,0.855,0.882453703703704,459.426699399948,0.362274646759033
30,14,0,0.83875,0.893518518518518,410.789450407028,0.273049116134644
30,14,0,0.8525,0.906435185185185,352.855425834656,0.282258272171021
30,14,0,0.87,0.933194444444444,354.223929643631,0.281285047531128
