"nn_size_l1","nn_size_l2","nn_size_l3","accuraccy_test","accuracy_training","time_training","time_eval"
1,0,0,0.18375,0.178611111111111,9.04313945770264,0.188059568405151
1,0,0,0.18,0.179027777777778,9.13866209983826,0.197490215301514
1,0,0,0.1825,0.17875,8.96057152748108,0.209860801696777
1,0,0,0.16375,0.180833333333333,9.4501166343689,0.199286699295044
1,0,0,0.16875,0.180277777777778,8.91841220855713,0.193958044052124
1,0,0,0.175,0.179583333333333,9.70101833343506,0.191156387329102
1,0,0,0.20125,0.176666666666667,9.18990206718445,0.208393335342407
1,0,0,0.17375,0.179722222222222,8.78234934806824,0.19328784942627
1,0,0,0.185,0.178472222222222,9.23835229873657,0.194656372070312
1,0,0,0.1775,0.179305555555556,8.93953919410706,0.199906349182129
1,1,0,0.17375,0.179722222222222,9.07193636894226,0.19413948059082
1,1,0,0.17375,0.179722222222222,9.01586818695068,0.191422700881958
1,1,0,0.1975,0.177083333333333,9.6635754108429,0.198989629745483
1,1,0,0.16375,0.180833333333333,9.2039635181427,0.192788124084473
1,1,0,0.1925,0.177638888888889,8.86553430557251,0.19175124168396
1,1,0,0.19375,0.1775,9.48360729217529,0.19387674331665
1,1,0,0.17,0.180138888888889,9.06504583358765,0.203662395477295
1,1,0,0.18125,0.178888888888889,9.46661019325256,0.191038608551025
1,1,0,0.1775,0.179305555555556,8.90779972076416,0.194149732589722
1,1,0,0.1675,0.180416666666667,9.03924083709717,0.196707963943481
1,1,1,0.175,0.179583333333333,9.12327027320862,0.195527076721191
1,1,1,0.18125,0.178888888888889,9.10429739952087,0.197299003601074
1,1,1,0.17625,0.179444444444444,10.31898021698,0.191737651824951
1,1,1,0.17875,0.179166666666667,9.2367115020752,0.195973873138428
1,1,1,0.16875,0.180277777777778,9.44029259681702,0.194839954376221
1,1,1,0.1725,0.179861111111111,8.99095320701599,0.192317724227905
1,1,1,0.1975,0.177083333333333,9.3825991153717,0.190606594085693
1,1,1,0.175,0.179583333333333,10.2148156166077,0.191910028457642
1,1,1,0.18375,0.178611111111111,9.11005687713623,0.20659613609314
1,1,1,0.1825,0.17875,9.1038863658905,0.19414234161377
