"nn_size_l1","nn_size_l2","nn_size_l3","accuraccy_test","accuracy_training","time_training","time_eval"
80,40,20,0.921,0.964333333333333,810.159072875977,0.345058679580688
80,40,20,0.9215,0.979055555555556,790.083424806595,0.339943170547485
80,40,20,0.9155,0.976611111111111,792.512631893158,0.350040912628174
80,40,20,0.8955,0.952333333333333,755.283238887787,0.329658985137939
80,40,20,0.9315,0.979944444444444,756.328240156174,0.336952686309814
80,40,20,0.94,0.981611111111111,744.493224143982,0.335219383239746
80,40,20,0.919,0.976333333333333,757.127726554871,0.34037184715271
80,40,20,0.909,0.968888888888889,768.053108930588,0.349993467330933
80,40,20,0.9145,0.966388888888889,750.938989639282,0.333007335662842
80,40,20,0.93,0.986444444444444,762.319813728333,0.332741022109985
60,40,20,0.928,0.970888888888889,581.957822799683,0.354317903518677
60,40,20,0.919,0.981833333333333,635.924151182175,0.298122406005859
60,40,20,0.9075,0.961944444444444,587.979427814484,0.296108484268188
60,40,20,0.904,0.968277777777778,606.414307355881,0.296538352966309
60,40,20,0.911,0.969888888888889,568.072845220566,0.294505834579468
60,40,20,0.917,0.964611111111111,571.414116382599,0.310632705688477
60,40,20,0.898,0.955055555555556,554.570317745209,0.290207147598267
60,40,20,0.9115,0.965277777777778,544.107862949371,0.293737411499023
60,40,20,0.892,0.956166666666667,561.822416067123,0.299577236175537
60,40,20,0.8855,0.927,560.50997376442,0.295318841934204
50,30,14,0.894,0.948333333333333,441.465185642242,0.264378070831299
50,30,14,0.8895,0.937444444444444,452.544578313828,0.269374132156372
50,30,14,0.9235,0.962944444444444,444.738593578339,0.265040397644043
50,30,14,0.886,0.946666666666667,456.072502613068,0.265134811401367
50,30,14,0.8815,0.926888888888889,444.584661483765,0.274209260940552
50,30,14,0.8685,0.895888888888889,464.859071969986,0.265447378158569
50,30,14,0.8935,0.947777777777778,451.983108282089,0.27186131477356
50,30,14,0.901,0.95,445.305542469025,0.263111591339111
50,30,14,0.893,0.951277777777778,454.540447473526,0.26220178604126
50,30,14,0.849,0.893777777777778,442.831073284149,0.269193172454834
