"nn_size_l1","nn_size_l2","nn_size_l3","accuraccy_test","accuracy_training","time_training","time_eval"
40,20,0,0.412,0.936777777777778,358.8207051754,0.241536617279053
40,20,0,0.2045,0.918,365.453665971756,0.258363246917725
40,20,0,0.6905,0.942333333333333,365.562682151794,0.245593309402466
40,20,0,0.73,0.937166666666667,356.371180534363,0.272237062454224
40,20,0,0.1005,0.937611111111111,408.371072769165,0.301810741424561
40,20,0,0.7145,0.950611111111111,419.497946023941,0.24687385559082
40,20,0,0.751,0.937166666666667,352.506974458694,0.239523887634277
40,20,0,0.725,0.9365,363.451864242554,0.249952077865601
40,20,0,0.6935,0.935833333333333,381.940304994583,0.292935848236084
40,20,0,0.6625,0.947333333333333,414.147115468979,0.300442457199097
30,20,0,0.327,0.928722222222222,320.929015874863,0.281383275985718
30,20,0,0.2575,0.908555555555556,320.140357255936,0.260940551757812
30,20,0,0.6505,0.933833333333333,325.664581537247,0.293511867523193
30,20,0,0.75,0.925777777777778,298.595885515213,0.220418930053711
30,20,0,0.2365,0.915555555555556,268.56015086174,0.220472574234009
30,20,0,0.662,0.927833333333333,268.056064844131,0.226924180984497
30,20,0,0.735,0.927277777777778,268.166029930115,0.22568941116333
30,20,0,0.7125,0.911111111111111,281.179161071777,0.225812673568726
30,20,0,0.711,0.920555555555556,276.06394982338,0.221569299697876
30,20,0,0.644,0.918388888888889,285.397620677948,0.223746776580811
30,14,0,0.3855,0.906333333333333,261.612813949585,0.223654985427856
30,14,0,0.369,0.937111111111111,267.196784973145,0.220388650894165
30,14,0,0.713,0.928,266.980343341827,0.216140747070312
30,14,0,0.6895,0.908055555555556,264.560476303101,0.239806413650513
30,14,0,0.1355,0.908166666666667,259.591974258423,0.219542264938354
30,14,0,0.675,0.906888888888889,267.205674171448,0.218898296356201
30,14,0,0.725,0.933777777777778,264.739413738251,0.219909906387329
30,14,0,0.6785,0.886444444444444,271.192399024963,0.242372274398804
30,14,0,0.6445,0.9235,277.23156785965,0.224532842636108
30,14,0,0.6245,0.921333333333333,285.590760231018,0.304417610168457
